web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1741287862-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","1","Ishikawa","JPN","60","12","41","20.00","53.10","113"
"1741287862-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","2","Anderson","USA","46","9","29","15.33","54.76","84"
"1741287862-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","3","Kaczmarek","POL","40","7","21","13.33","58.82","68"
"1741287862-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","4","Śliwka","POL","37","7","18","12.33","59.68","62"
"1741287862-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","5","Jaeschke","USA","33","11","27","11.00","46.48","71"
"1741287862-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","5","Michieletto","ITA","33","8","26","11.00","49.25","67"
"1741287862-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","6","Ran","JPN","32","15","24","10.67","45.07","71"
"1741287862-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","7","Defalco","USA","31","12","20","10.33","49.21","63"
"1741287862-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","8","Lavia","ITA","30","8","38","10.00","39.47","76"
"1741287862-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","8","Leon","POL","30","8","24","10.00","48.39","62"
"1741287862-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","9","Romanò","ITA","28","13","36","9.33","36.36","77"
"1741287862-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","10","Miyaura","JPN","26","13","18","8.67","45.61","57"
"1741287862-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","11","Russo","ITA","17","5","8","5.67","56.67","30"
"1741287862-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","12","Onodera","JPN","15","0","17","5.00","46.88","32"
"1741287862-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","13","Yamauchi","JPN","14","2","13","4.67","48.28","29"
"1741287862-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","13","Bieniek","POL","14","2","8","4.67","58.33","24"
"1741287862-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","13","Alan","BRA","14","5","10","14.00","48.28","29"
"1741287862-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","14","Holt","USA","13","3","10","4.33","50.00","26"
"1741287862-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","14","Patry","FRA","13","6","10","13.00","44.83","29"
"1741287862-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","15","Galassi","ITA","12","1","10","4.00","52.17","23"
"1741287862-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","15","Nishida","JPN","12","3","10","6.00","48.00","25"
"1741287862-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","15","Urnaut","SLO","12","4","14","12.00","40.00","30"
"1741287862-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","16","Smith","USA","11","0","10","3.67","52.38","21"
"1741287862-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","16","Tillie","FRA","11","6","6","11.00","47.83","23"
"1741287862-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","16","Le Goff","FRA","11","2","5","11.00","61.11","18"
"1741287862-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","16","Pajenk","SLO","11","0","5","11.00","68.75","16"
"1741287862-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","17","Chinenyeze","FRA","10","1","6","10.00","58.82","17"
"1741287862-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","17","Giannelli","ITA","10","1","2","3.33","76.92","13"
"1741287862-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","17","Huber","POL","10","1","3","3.33","71.43","14"
"1741287862-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","18","Kochanowski","POL","9","0","5","3.00","64.29","14"
"1741287862-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","18","Russell","USA","9","5","4","4.50","50.00","18"
"1741287862-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","19","Čebulj","SLO","8","2","12","8.00","36.36","22"
"1741287862-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","19","Možič","SLO","8","2","11","8.00","38.10","21"
"1741287862-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","20","Loser Bruno","ARG","7","2","5","7.00","50.00","14"
"1741287862-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","20","Fornal","POL","7","2","5","2.33","50.00","14"
"1741287862-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","20","Lucarelli","BRA","7","4","9","7.00","35.00","20"
"1741287862-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","21","Averill","USA","6","2","4","2.00","50.00","12"
"1741287862-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","21","Clevenot","FRA","6","0","20","6.00","23.08","26"
"1741287862-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","21","Kurek","POL","6","5","4","2.00","40.00","15"
"1741287862-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","22","Muagututia","USA","5","1","6","1.67","41.67","12"
"1741287862-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","22","Palonsky","ARG","5","2","8","5.00","33.33","15"
"1741287862-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","22","Kukartsev","ARG","5","6","12","5.00","21.74","23"
"1741287862-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","23","Boyer","FRA","4","1","10","4.00","26.67","15"
"1741287862-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","23","Honorato","BRA","4","4","5","4.00","30.77","13"
"1741287862-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","23","Flavio","BRA","4","1","2","4.00","57.14","7"
"1741287862-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","24","Vicentin","ARG","3","3","7","3.00","23.08","13"
"1741287862-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","24","Nishiyama","JPN","3","3","1","1.00","42.86","7"
"1741287862-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","24","Bednorz","POL","3","1","4","1.00","37.50","8"
"1741287862-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","24","Lucas","BRA","3","1","5","3.00","33.33","9"
"1741287862-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","25","Carle","FRA","2","0","3","2.00","40.00","5"
"1741287862-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","25","Martinez Franchi","ARG","2","0","4","2.00","33.33","6"
"1741287862-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","25","Ramos","ARG","2","0","2","2.00","50.00","4"
"1741287862-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","25","Kozamernik","SLO","2","0","1","2.00","66.67","3"
"1741287862-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","25","Leal","BRA","2","0","2","2.00","50.00","4"
"1741287862-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","26","Hanes","USA","1","1","0","0.33","50.00","2"
"1741287862-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","26","Christenson","USA","1","0","3","0.33","25.00","4"
"1741287862-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","26","Toniutti","FRA","1","0","0","1.00","100.00","1"
"1741287862-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","26","Zelayeta","ARG","1","0","0","1.00","100.00","1"
"1741287862-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","26","Armoa Morel","ARG","1","3","3","1.00","14.29","7"
"1741287862-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","26","Otsuka","JPN","1","2","4","0.33","14.29","7"
"1741287862-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","26","Semeniuk","POL","1","0","0","0.33","100.00","1"
"1741287862-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","26","Roque","BRA","1","0","2","1.00","33.33","3"
"1741287862-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Jendryk","USA","0","0","0","","","0"
"1741287862-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Dagostino","USA","0","0","0","","","0"
"1741287862-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Ma'a","USA","0","0","1","0.00","0.00","1"
"1741287862-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","E. Shoji","USA","0","0","0","","","0"
"1741287862-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Grebennikov","FRA","0","0","0","","","0"
"1741287862-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Brizard","FRA","0","0","2","0.00","0.00","2"
"1741287862-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Bultor","FRA","0","0","0","","","0"
"1741287862-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Louati","FRA","0","0","0","","","0"
"1741287862-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Diez","FRA","0","0","0","","","0"
"1741287862-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Jouffroy","FRA","0","0","0","","","0"
"1741287862-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Balaso","ITA","0","0","0","","","0"
"1741287862-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Sbertoli","ITA","0","0","0","","","0"
"1741287862-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Scanferla","ITA","0","0","0","","","0"
"1741287862-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Bottolo","ITA","0","0","0","","","0"
"1741287862-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Gironi","ITA","0","1","2","0.00","0.00","3"
"1741287862-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Rinaldi","ITA","0","0","0","","","0"
"1741287862-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Sanguinetti","ITA","0","0","0","","","0"
"1741287862-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Mosca","ITA","0","0","0","","","0"
"1741287862-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Sanchez Pages","ARG","0","0","0","","","0"
"1741287862-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Gallego","ARG","0","0","0","","","0"
"1741287862-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Danani","ARG","0","0","0","","","0"
"1741287862-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Lima B.","ARG","0","0","0","","","0"
"1741287862-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","De Cecco","ARG","0","0","0","","","0"
"1741287862-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Zerba","ARG","0","0","0","","","0"
"1741287862-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Sekita","JPN","0","0","2","0.00","0.00","2"
"1741287862-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Kentaro","JPN","0","0","1","0.00","0.00","1"
"1741287862-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Tomita","JPN","0","0","0","","","0"
"1741287862-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Ogawa","JPN","0","0","0","","","0"
"1741287862-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Yamamoto","JPN","0","0","0","","","0"
"1741287862-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Eiro","JPN","0","0","0","","","0"
"1741287862-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Planinšič","SLO","0","0","0","","","0"
"1741287862-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Kök","SLO","0","0","0","","","0"
"1741287862-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Toman","SLO","0","0","0","","","0"
"1741287862-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Štalekar","SLO","0","0","0","","","0"
"1741287862-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Koncilja","SLO","0","0","0","","","0"
"1741287862-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Kovačič","SLO","0","0","0","","","0"
"1741287862-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Z. Štern","SLO","0","1","2","0.00","0.00","3"
"1741287862-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Ropret","SLO","0","0","1","0.00","0.00","1"
"1741287862-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Mujanović","SLO","0","0","0","","","0"
"1741287862-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Popiwczak","POL","0","0","0","","","0"
"1741287862-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Łomacz","POL","0","0","0","","","0"
"1741287862-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Zatorski","POL","0","0","0","","","0"
"1741287862-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Janusz","POL","0","0","0","","","0"
"1741287862-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Bruno","BRA","0","0","0","","","0"
"1741287862-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Otávio","BRA","0","0","0","","","0"
"1741287862-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Adriano","BRA","0","0","0","","","0"
"1741287862-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Fernando","BRA","0","0","0","","","0"
"1741287862-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Maique","BRA","0","0","0","","","0"
"1741287862-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Thales","BRA","0","0","0","","","0"
"1741287862-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Judson","BRA","0","0","0","","","0"
"1741287862-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","27","Larry","JPN","0","0","0","","","0"
