web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Serve Points,Errors,Attemps,Average Per Match,Success,Total
"1741279271-146","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Z. Štern","SLO","1","6","34","0.08","2.44","41"
"1741279271-147","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Ropret","SLO","1","13","110","0.08","0.81","124"
"1741279271-148","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Łomacz","POL","1","2","66","0.07","1.45","69"
"1741279271-149","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Urbanowicz","POL","1","4","24","0.12","3.45","29"
"1741279271-150","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Corre","FRA","1","10","54","0.25","1.54","65"
"1741279271-151","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Ma'a","USA","1","7","23","0.09","3.23","31"
"1741279271-152","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Meijs","NED","1","6","10","0.08","5.88","17"
"1741279271-153","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Jorna","NED","1","10","94","0.08","0.95","105"
"1741279271-154","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Adriano","BRA","1","3","44","0.08","2.08","48"
"1741279271-155","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Abouba","BRA","1","5","22","0.25","3.57","28"
"1741279271-156","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Mašulović N.","SRB","1","0","9","0.12","10.00","10"
"1741279271-157","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Ter Horst","NED","1","5","4","0.12","10.00","10"
"1741279271-158","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Parkinson","NED","1","1","32","0.25","2.94","34"
"1741279271-159","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Chen L.Y.","CHN","1","3","24","0.12","3.57","28"
"1741279271-160","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Roque","BRA","1","3","21","0.11","4.00","25"
"1741279271-161","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Anzani","ITA","1","2","22","0.25","4.00","25"
"1741279271-162","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Caneschi","ITA","1","2","2","0.25","20.00","5"
"1741279271-163","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Le Goff","FRA","1","7","20","0.20","3.57","28"
"1741279271-164","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Fromm","GER","1","5","30","0.25","2.78","36"
"1741279271-165","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","V. Bratoev","BUL","1","4","17","0.25","4.55","22"
"1741279271-166","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","K. Russell","USA","1","6","9","0.25","6.25","16"
"1741279271-167","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","22","Nishiyama","JPN","1","2","2","0.33","20.00","5"
"1741279271-168","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","G. Bratoev","BUL","0","0","8","0.00","0.00","8"
"1741279271-169","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Gotsev","BUL","0","3","35","0.00","0.00","38"
"1741279271-170","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Bozhilov","BUL","0","0","0","","","0"
"1741279271-171","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","N. Penchev","BUL","0","3","20","0.00","0.00","23"
"1741279271-172","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Dobrev","BUL","0","0","0","","","0"
"1741279271-173","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Guo C.","CHN","0","2","3","0.00","0.00","5"
"1741279271-174","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Liu M.","CHN","0","0","4","0.00","0.00","4"
"1741279271-175","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Chen J.J.","CHN","0","0","0","","","0"
"1741279271-176","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Qu Z.S.","CHN","0","0","0","","","0"
"1741279271-177","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Fukatsu","JPN","0","1","1","0.00","0.00","2"
"1741279271-178","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Kentaro","JPN","0","7","41","0.00","0.00","48"
"1741279271-179","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Tomita","JPN","0","2","6","0.00","0.00","8"
"1741279271-180","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Ogawa","JPN","0","0","0","","","0"
"1741279271-181","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Yamamoto","JPN","0","0","0","","","0"
"1741279271-182","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Kai","JPN","0","5","9","0.00","0.00","14"
"1741279271-183","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Jelveh","IRI","0","3","36","0.00","0.00","39"
"1741279271-184","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Hazrat","IRI","0","0","0","","","0"
"1741279271-185","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","J.Manavi","IRI","0","4","12","0.00","0.00","16"
"1741279271-186","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Vadi","IRI","0","3","49","0.00","0.00","52"
"1741279271-187","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Arman","IRI","0","0","0","","","0"
"1741279271-188","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Porro P.","ITA","0","9","43","0.00","0.00","52"
"1741279271-189","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Falaschi","ITA","0","0","0","","","0"
"1741279271-190","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Balaso","ITA","0","0","0","","","0"
"1741279271-191","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Gardini","ITA","0","1","1","0.00","0.00","2"
"1741279271-192","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Cortesia","ITA","0","5","6","0.00","0.00","11"
"1741279271-193","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Gironi","ITA","0","3","10","0.00","0.00","13"
"1741279271-194","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Vitelli","ITA","0","2","4","0.00","0.00","6"
"1741279271-195","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Federici","ITA","0","0","0","","","0"
"1741279271-196","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Mosca","ITA","0","3","36","0.00","0.00","39"
"1741279271-197","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Gallego","ARG","0","3","36","0.00","0.00","39"
"1741279271-198","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Danani","ARG","0","0","0","","","0"
"1741279271-199","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Zelayeta","ARG","0","1","0","0.00","0.00","1"
"1741279271-200","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Ramos","ARG","0","4","44","0.00","0.00","48"
"1741279271-201","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Blankenau","CAN","0","0","3","0.00","0.00","3"
"1741279271-202","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Van Berkel","CAN","0","2","74","0.00","0.00","76"
"1741279271-203","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Schnitzer","CAN","0","1","1","0.00","0.00","2"
"1741279271-204","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Lui","CAN","0","0","0","","","0"
"1741279271-205","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Currie","CAN","0","0","0","","","0"
"1741279271-206","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","M. Elser","CAN","0","4","32","0.00","0.00","36"
"1741279271-207","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Garcia","CUB","0","0","0","","","0"
"1741279271-208","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Gutierrez","CUB","0","4","3","0.00","0.00","7"
"1741279271-209","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Taboada","CUB","0","11","105","0.00","0.00","116"
"1741279271-210","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Goide","CUB","0","0","0","","","0"
"1741279271-211","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Pedroso","CUB","0","7","31","0.00","0.00","38"
"1741279271-212","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Gorguet","CUB","0","0","0","","","0"
"1741279271-213","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Planinšič","SLO","0","7","27","0.00","0.00","34"
"1741279271-214","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Kök","SLO","0","4","15","0.00","0.00","19"
"1741279271-215","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Toman","SLO","0","0","0","","","0"
"1741279271-216","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Bračko","SLO","0","0","0","","","0"
"1741279271-217","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Štalekar","SLO","0","1","5","0.00","0.00","6"
"1741279271-218","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Koncilja","SLO","0","0","0","","","0"
"1741279271-219","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Kovačič","SLO","0","0","0","","","0"
"1741279271-220","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Kapur","SRB","0","0","0","","","0"
"1741279271-221","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Mašulović V.","SRB","0","3","4","0.00","0.00","7"
"1741279271-222","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Katic","SRB","0","2","14","0.00","0.00","16"
"1741279271-223","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Batak","SRB","0","6","18","0.00","0.00","24"
"1741279271-224","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Gajović","SRB","0","0","0","","","0"
"1741279271-225","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Krsteski","SRB","0","0","0","","","0"
"1741279271-226","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Petrović","SRB","0","1","0","0.00","0.00","1"
"1741279271-227","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Vucicevic","SRB","0","7","15","0.00","0.00","22"
"1741279271-228","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Szymura","POL","0","0","0","","","0"
"1741279271-229","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Hawryluk","POL","0","0","0","","","0"
"1741279271-230","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Sawicki","POL","0","4","2","0.00","0.00","6"
"1741279271-231","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Poręba","POL","0","0","0","","","0"
"1741279271-232","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Firlej","POL","0","8","25","0.00","0.00","33"
"1741279271-233","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Motta Paes","FRA","0","1","1","0.00","0.00","2"
"1741279271-234","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Henry","FRA","0","0","0","","","0"
"1741279271-235","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Pothron","FRA","0","1","2","0.00","0.00","3"
"1741279271-236","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Diez","FRA","0","0","0","","","0"
"1741279271-237","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Basic","FRA","0","0","0","","","0"
"1741279271-238","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Henno","FRA","0","3","7","0.00","0.00","10"
"1741279271-239","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Loubeyre","FRA","0","0","0","","","0"
"1741279271-240","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Roehrig","FRA","0","0","0","","","0"
"1741279271-241","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Ensing","USA","0","2","5","0.00","0.00","7"
"1741279271-242","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","E. Shoji","USA","0","0","0","","","0"
"1741279271-243","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Kessel","USA","0","1","6","0.00","0.00","7"
"1741279271-244","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Korenblek","NED","0","2","2","0.00","0.00","4"
"1741279271-245","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Van Der Ent","NED","0","0","0","","","0"
"1741279271-246","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Andringa","NED","0","0","0","","","0"
"1741279271-247","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Bak","NED","0","0","0","","","0"
"1741279271-248","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Wijkstra","NED","0","0","0","","","0"
"1741279271-249","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Lipke","NED","0","0","0","","","0"
"1741279271-250","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Fernando","BRA","0","3","38","0.00","0.00","41"
"1741279271-251","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Maique","BRA","0","0","0","","","0"
"1741279271-252","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Thales","BRA","0","0","0","","","0"
"1741279271-253","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Arthur","BRA","0","2","4","0.00","0.00","6"
"1741279271-254","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Thiery","BRA","0","0","0","","","0"
"1741279271-255","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Judson","BRA","0","14","49","0.00","0.00","63"
"1741279271-256","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Graven","GER","0","0","0","","","0"
"1741279271-257","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Krick","GER","0","7","70","0.00","0.00","77"
"1741279271-258","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Brand","GER","0","6","25","0.00","0.00","31"
"1741279271-259","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Maase","GER","0","4","13","0.00","0.00","17"
"1741279271-260","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Böhme","GER","0","7","23","0.00","0.00","30"
"1741279271-261","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Otsuka","JPN","0","4","26","0.00","0.00","30"
"1741279271-262","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Salehi","IRI","0","0","0","","","0"
"1741279271-263","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Zimmermann","GER","0","0","13","0.00","0.00","13"
"1741279271-264","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Günthör","GER","0","0","1","0.00","0.00","1"
"1741279271-265","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Dagostino","USA","0","0","0","","","0"
"1741279271-266","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Tuaniga","USA","0","0","6","0.00","0.00","6"
"1741279271-267","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Giraudo","ARG","0","2","1","0.00","0.00","3"
"1741279271-268","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Mujanović","SLO","0","0","0","","","0"
"1741279271-269","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Yang Y.M.","CHN","0","0","0","","","0"
"1741279271-270","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Salparov","BUL","0","0","0","","","0"
"1741279271-271","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Raev","BUL","0","0","13","0.00","0.00","13"
"1741279271-272","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","S.Ivanov","BUL","0","2","1","0.00","0.00","3"
"1741279271-273","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Sbertoli","ITA","0","4","8","0.00","0.00","12"
"1741279271-274","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Scanferla","ITA","0","0","0","","","0"
"1741279271-275","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Magalini","ITA","0","0","0","","","0"
"1741279271-276","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Adamczyk","POL","0","4","11","0.00","0.00","15"
"1741279271-277","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Zatorski","POL","0","0","0","","","0"
"1741279271-278","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Fornal","POL","0","12","36","0.00","0.00","48"
"1741279271-279","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Bołądź","POL","0","6","10","0.00","0.00","16"
"1741279271-280","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Grebennikov","FRA","0","0","0","","","0"
"1741279271-281","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Huetz","FRA","0","1","0","0.00","0.00","1"
"1741279271-282","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Vaccari","BRA","0","2","5","0.00","0.00","7"
"1741279271-283","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Piccinelli","ITA","0","0","0","","","0"
"1741279271-284","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Sala","ITA","0","0","4","0.00","0.00","4"
"1741279271-285","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Eiro","JPN","0","1","7","0.00","0.00","8"
"1741279271-286","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Larry","JPN","0","0","9","0.00","0.00","9"
"1741279271-287","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Rao S.H.","CHN","0","0","0","","","0"
"1741279271-288","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Kovačević","SRB","0","1","5","0.00","0.00","6"
"1741279271-289","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Podraščanin","ITA","0","0","0","","","0"
"1741279271-290","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","M. R. Moazzen","IRI","0","0","0","","","0"
"1741279271-291","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","A. Ramezani","IRI","0","3","28","0.00","0.00","31"
"1741279271-292","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","A. Afshinfar","IRI","0","0","0","","","0"
"1741279271-293","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Saadat","IRI","0","11","26","0.00","0.00","37"
"1741279271-294","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Toniutti","FRA","0","2","39","0.00","0.00","41"
"1741279271-295","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Popiwczak","POL","0","0","0","","","0"
"1741279271-296","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Daneshdoust","IRI","0","0","0","","","0"
"1741279271-297","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-servers/","23","Leal","BRA","0","2","1","0.00","0.00","3"
